ID,AQI
11748,110.0
11749,107.0
11750,105.0
11751,103.0
11752,99.0
11753,94.0
11754,89.0
11755,85.0
11756,83.0
11757,81.0
11758,79.0
11759,76.0
11760,74.0
11761,73.0
11762,71.0
11763,68.0
11764,62.0
11765,59.0
11766,57.0
11767,52.0
11768,48.0
11769,46.0
11770,45.0
11771,44.0
11772,44.0
11773,43.0
11774,43.0
11775,43.0
11776,44.0
11777,46.0
11778,47.0
11779,48.0
11780,50.0
11781,53.0
11782,55.0
11783,57.0
11784,57.0
11785,58.0
11786,59.0
11787,60.0
11788,59.0
11789,59.0
11790,58.0
11791,57.0
11792,56.0
11793,55.0
11794,54.0
11795,53.0
