No,PM,Temperature,Humidity,Air_Pressure,Wind_Speed,Wind_Direction,AQI,Day,Month,Year,Time,Status
1,16.0,28.68000031,53.26269531,1013.574524,1.0,360.0,70.0,25,11,2023,0,3
2,18.0,27.98999977,54.75976563,1013.095764,1.0,360.0,60.0,25,11,2023,1,3
3,12.0,27.37999916,58.02929688,1012.560486,1.0,360.0,51.0,25,11,2023,2,3
4,14.0,26.75,60.92089844,1011.905762,1.0,360.0,46.0,25,11,2023,3,4
5,23.0,26.11000061,65.05175781,1011.653503,1.0,360.0,43.0,25,11,2023,4,4
6,26.0,25.55999947,68.06640625,1012.153259,1.0,360.0,42.0,25,11,2023,5,4
7,36.0,24.92000008,71.56152344,1012.535156,1.0,360.0,41.0,25,11,2023,6,4
8,33.0,24.93000031,70.70996094,1013.374512,1.0,360.0,40.0,25,11,2023,7,4
9,30.0,26.31999969,61.42675781,1014.160156,1.0,360.0,39.0,25,11,2023,8,4
10,23.0,27.81999969,52.80957031,1014.906311,1.0,360.0,38.0,25,11,2023,9,4
11,19.0,29.43000031,46.90820313,1014.934387,3.0,360.0,38.0,25,11,2023,10,4
12,21.0,31.04000092,43.52246094,1014.37616,1.0,360.0,39.0,25,11,2023,11,4
13,21.0,32.56000137,38.90039063,1013.16687,0.0,360.0,39.0,25,11,2023,12,4
14,22.0,34.83000183,35.46972656,1012.051697,1.0,360.0,39.0,25,11,2023,13,4
15,20.0,34.38999939,34.9375,1011.261902,1.0,360.0,39.0,25,11,2023,14,4
16,25.0,33.25,37.88671875,1010.974243,0.0,360.0,41.0,25,11,2023,15,4
17,23.0,31.73999977,39.15332031,1011.256653,2.0,360.0,42.0,25,11,2023,16,4
18,21.0,31.37000084,41.24707031,1011.896729,0.0,360.0,43.0,25,11,2023,17,4
19,34.0,30.89999962,46.04101563,1012.875549,1.0,360.0,45.0,25,11,2023,18,4
20,28.0,30.20000076,49.125,1013.852722,1.0,360.0,47.0,25,11,2023,19,4
21,26.0,29.71999931,51.2421875,1014.514587,2.0,360.0,47.0,25,11,2023,20,4
22,22.0,28.87999916,52.36425781,1015.101257,1.0,360.0,48.0,25,11,2023,21,4
