ID,No,PM,Temperature,Humidity,Air_Pressure,Wind_Speed,Wind_Direction,AQI,DW,Day,Month,Day_Nom,Month_Nom,Year,Time,Time_Nom,Formatted_Reading_Time,Status,Status_Nom
9849,1,16.0,28.68000031,53.26269531,1013.574524,1.0,360.0,70.0,Seven,25,11,Twenty-Five,Eleven,2023,0,Night,11-25,3,Moderate
9850,2,18.0,27.98999977,54.75976563,1013.095764,1.0,360.0,60.0,Seven,25,11,Twenty-Five,Eleven,2023,1,Night,11-25,3,Moderate
9851,3,12.0,27.37999916,58.02929688,1012.560486,1.0,360.0,51.0,Seven,25,11,Twenty-Five,Eleven,2023,2,Night,11-25,3,Moderate
9852,4,14.0,26.75,60.92089844,1011.905762,1.0,360.0,46.0,Seven,25,11,Twenty-Five,Eleven,2023,3,Night,11-25,4,Good
9853,5,23.0,26.11000061,65.05175781,1011.653503,1.0,360.0,43.0,Seven,25,11,Twenty-Five,Eleven,2023,4,Night,11-25,4,Good
9854,6,26.0,25.55999947,68.06640625,1012.153259,1.0,360.0,42.0,Seven,25,11,Twenty-Five,Eleven,2023,5,Night,11-25,4,Good
9855,7,36.0,24.92000008,71.56152344,1012.535156,1.0,360.0,41.0,Seven,25,11,Twenty-Five,Eleven,2023,6,Day,11-25,4,Good
9856,8,33.0,24.93000031,70.70996094,1013.374512,1.0,360.0,40.0,Seven,25,11,Twenty-Five,Eleven,2023,7,Day,11-25,4,Good
9857,9,30.0,26.31999969,61.42675781,1014.160156,1.0,360.0,39.0,Seven,25,11,Twenty-Five,Eleven,2023,8,Day,11-25,4,Good
9858,10,23.0,27.81999969,52.80957031,1014.906311,1.0,360.0,38.0,Seven,25,11,Twenty-Five,Eleven,2023,9,Day,11-25,4,Good
9859,11,19.0,29.43000031,46.90820313,1014.934387,3.0,360.0,38.0,Seven,25,11,Twenty-Five,Eleven,2023,10,Day,11-25,4,Good
9860,12,21.0,31.04000092,43.52246094,1014.37616,1.0,360.0,39.0,Seven,25,11,Twenty-Five,Eleven,2023,11,Day,11-25,4,Good
9861,13,21.0,32.56000137,38.90039063,1013.16687,0.0,360.0,39.0,Seven,25,11,Twenty-Five,Eleven,2023,12,Day,11-25,4,Good
9862,14,22.0,34.83000183,35.46972656,1012.051697,1.0,360.0,39.0,Seven,25,11,Twenty-Five,Eleven,2023,13,Day,11-25,4,Good
9863,15,20.0,34.38999939,34.9375,1011.261902,1.0,360.0,39.0,Seven,25,11,Twenty-Five,Eleven,2023,14,Day,11-25,4,Good
9864,16,25.0,33.25,37.88671875,1010.974243,0.0,360.0,41.0,Seven,25,11,Twenty-Five,Eleven,2023,15,Day,11-25,4,Good
9865,17,23.0,31.73999977,39.15332031,1011.256653,2.0,360.0,42.0,Seven,25,11,Twenty-Five,Eleven,2023,16,Day,11-25,4,Good
9866,18,21.0,31.37000084,41.24707031,1011.896729,0.0,360.0,43.0,Seven,25,11,Twenty-Five,Eleven,2023,17,Day,11-25,4,Good
9867,19,34.0,30.89999962,46.04101563,1012.875549,1.0,360.0,45.0,Seven,25,11,Twenty-Five,Eleven,2023,18,Night,11-25,4,Good
9868,20,28.0,30.20000076,49.125,1013.852722,1.0,360.0,47.0,Seven,25,11,Twenty-Five,Eleven,2023,19,Night,11-25,4,Good
9870,21,26.0,29.71999931,51.2421875,1014.514587,2.0,360.0,47.0,Seven,25,11,Twenty-Five,Eleven,2023,20,Night,11-25,4,Good
9871,22,22.0,28.87999916,52.36425781,1015.101257,1.0,360.0,48.0,Seven,25,11,Twenty-Five,Eleven,2023,21,Night,11-25,4,Good
9872,23,26.0,29.04000092,51.79101563,1015.113892,1.0,360.0,46.0,Seven,25,11,Twenty-Five,Eleven,2023,22,Night,11-25,4,Good
9873,24,37.0,28.62999916,54.66601563,1014.985229,1.0,360.0,48.0,Seven,25,11,Twenty-Five,Eleven,2023,23,Night,11-25,4,Good
9874,25,47.0,28.31999969,54.32324219,1014.564697,1.0,360.0,52.0,One,26,11,Twenty-Six,Eleven,2023,0,Night,11-26,3,Moderate
9875,26,48.0,27.98999977,56.58789063,1014.233582,1.0,360.0,57.0,One,26,11,Twenty-Six,Eleven,2023,1,Night,11-26,3,Moderate
9876,27,38.0,30.03000069,60.79199219,1014.380127,0.0,0.0,61.0,One,26,11,Twenty-Six,Eleven,2023,21,Night,11-26,3,Moderate
9877,28,48.0,28.75,67.79980469,1014.273926,0.0,141.0,67.0,One,26,11,Twenty-Six,Eleven,2023,22,Night,11-26,3,Moderate
9878,29,49.0,29.14999962,64.58105469,1014.026428,0.0,140.0,71.0,One,26,11,Twenty-Six,Eleven,2023,23,Night,11-26,3,Moderate
9881,30,128.0,29.17000008,64.57324219,1013.722412,0.0,139.0,88.0,One,26,11,Twenty-Six,Eleven,2023,23,Night,11-26,3,Moderate
9882,31,78.0,29.14999962,63.77539063,1013.775757,0.0,144.0,95.0,Two,27,11,Twenty-Seven,Eleven,2023,0,Night,11-27,3,Moderate
9883,32,61.0,28.98999977,63.45898438,1013.522644,0.0,142.0,99.0,Two,27,11,Twenty-Seven,Eleven,2023,1,Night,11-27,3,Moderate
9884,33,15.0,28.43000031,64.95605469,1013.082336,0.0,140.0,97.0,Two,27,11,Twenty-Seven,Eleven,2023,2,Night,11-27,3,Moderate
9886,34,21.0,25.29999924,89.19042969,1012.646729,0.0,140.0,96.0,Two,27,11,Twenty-Seven,Eleven,2023,3,Night,11-27,3,Moderate
9887,35,18.0,26.0,83.46289063,1012.617493,0.0,141.0,96.0,Two,27,11,Twenty-Seven,Eleven,2023,4,Night,11-27,3,Moderate
9888,36,13.0,25.95000076,82.17578125,1012.819275,0.0,140.0,95.0,Two,27,11,Twenty-Seven,Eleven,2023,5,Night,11-27,3,Moderate
9889,37,18.0,26.42000008,76.56738281,1013.224365,0.0,142.0,94.0,Two,27,11,Twenty-Seven,Eleven,2023,6,Day,11-27,3,Moderate
9890,38,13.0,26.70000076,74.17285156,1013.803589,0.0,141.0,93.0,Two,27,11,Twenty-Seven,Eleven,2023,7,Day,11-27,3,Moderate
9891,39,10.0,27.68000031,67.97949219,1014.565186,0.0,140.0,91.0,Two,27,11,Twenty-Seven,Eleven,2023,8,Day,11-27,3,Moderate
9892,40,8.0,28.76000023,63.89160156,1015.772827,0.0,140.0,88.0,Two,27,11,Twenty-Seven,Eleven,2023,9,Day,11-27,3,Moderate
9893,41,15.0,30.62000084,56.57226563,1015.598877,0.0,142.0,87.0,Two,27,11,Twenty-Seven,Eleven,2023,10,Day,11-27,3,Moderate
9894,42,6.0,31.87000084,49.45410156,1014.917725,0.0,142.0,85.0,Two,27,11,Twenty-Seven,Eleven,2023,11,Day,11-27,3,Moderate
9895,43,4.0,33.34999847,45.06738281,1014.031067,0.0,140.0,80.0,Two,27,11,Twenty-Seven,Eleven,2023,12,Day,11-27,3,Moderate
9896,44,3.0,34.43999863,41.43066406,1012.793579,0.0,140.0,76.0,Two,27,11,Twenty-Seven,Eleven,2023,13,Day,11-27,3,Moderate
9897,45,6.0,33.81999969,43.82324219,1011.84314,0.0,140.0,72.0,Two,27,11,Twenty-Seven,Eleven,2023,14,Day,11-27,3,Moderate
9898,46,14.0,32.95999908,47.69824219,1011.251892,0.0,140.0,71.0,Two,27,11,Twenty-Seven,Eleven,2023,15,Day,11-27,3,Moderate
