ID,No,PM,Temperature,Humidity,Air_Pressure,Wind_Speed,Wind_Direction,AQI,DW,Day,Month,Year,Time,Status
9849,1,16.0,28.68000031,53.26269531,1013.574524,1.0,360.0,70.0,7,25,11,2023,0,3
9850,2,18.0,27.98999977,54.75976563,1013.095764,1.0,360.0,60.0,7,25,11,2023,1,3
9851,3,12.0,27.37999916,58.02929688,1012.560486,1.0,360.0,51.0,7,25,11,2023,2,3
9852,4,14.0,26.75,60.92089844,1011.905762,1.0,360.0,46.0,7,25,11,2023,3,4
9853,5,23.0,26.11000061,65.05175781,1011.653503,1.0,360.0,43.0,7,25,11,2023,4,4
9854,6,26.0,25.55999947,68.06640625,1012.153259,1.0,360.0,42.0,7,25,11,2023,5,4
9855,7,36.0,24.92000008,71.56152344,1012.535156,1.0,360.0,41.0,7,25,11,2023,6,4
9856,8,33.0,24.93000031,70.70996094,1013.374512,1.0,360.0,40.0,7,25,11,2023,7,4
9857,9,30.0,26.31999969,61.42675781,1014.160156,1.0,360.0,39.0,7,25,11,2023,8,4
9858,10,23.0,27.81999969,52.80957031,1014.906311,1.0,360.0,38.0,7,25,11,2023,9,4
9859,11,19.0,29.43000031,46.90820313,1014.934387,3.0,360.0,38.0,7,25,11,2023,10,4
9860,12,21.0,31.04000092,43.52246094,1014.37616,1.0,360.0,39.0,7,25,11,2023,11,4
9861,13,21.0,32.56000137,38.90039063,1013.16687,0.0,360.0,39.0,7,25,11,2023,12,4
9862,14,22.0,34.83000183,35.46972656,1012.051697,1.0,360.0,39.0,7,25,11,2023,13,4
9863,15,20.0,34.38999939,34.9375,1011.261902,1.0,360.0,39.0,7,25,11,2023,14,4
9864,16,25.0,33.25,37.88671875,1010.974243,0.0,360.0,41.0,7,25,11,2023,15,4
9865,17,23.0,31.73999977,39.15332031,1011.256653,2.0,360.0,42.0,7,25,11,2023,16,4
9866,18,21.0,31.37000084,41.24707031,1011.896729,0.0,360.0,43.0,7,25,11,2023,17,4
9867,19,34.0,30.89999962,46.04101563,1012.875549,1.0,360.0,45.0,7,25,11,2023,18,4
9868,20,28.0,30.20000076,49.125,1013.852722,1.0,360.0,47.0,7,25,11,2023,19,4
9870,21,26.0,29.71999931,51.2421875,1014.514587,2.0,360.0,47.0,7,25,11,2023,20,4
9871,22,22.0,28.87999916,52.36425781,1015.101257,1.0,360.0,48.0,7,25,11,2023,21,4
9872,23,26.0,29.04000092,51.79101563,1015.113892,1.0,360.0,46.0,7,25,11,2023,22,4
9873,24,37.0,28.62999916,54.66601563,1014.985229,1.0,360.0,48.0,7,25,11,2023,23,4
9874,25,47.0,28.31999969,54.32324219,1014.564697,1.0,360.0,52.0,1,26,11,2023,0,3
9875,26,48.0,27.98999977,56.58789063,1014.233582,1.0,360.0,57.0,1,26,11,2023,1,3
9876,27,38.0,30.03000069,60.79199219,1014.380127,0.0,0.0,61.0,1,26,11,2023,21,3
9877,28,48.0,28.75,67.79980469,1014.273926,0.0,141.0,67.0,1,26,11,2023,22,3
9878,29,49.0,29.14999962,64.58105469,1014.026428,0.0,140.0,71.0,1,26,11,2023,23,3
9881,30,128.0,29.17000008,64.57324219,1013.722412,0.0,139.0,88.0,1,26,11,2023,23,3
9882,31,78.0,29.14999962,63.77539063,1013.775757,0.0,144.0,95.0,2,27,11,2023,0,3
9883,32,61.0,28.98999977,63.45898438,1013.522644,0.0,142.0,99.0,2,27,11,2023,1,3
9884,33,15.0,28.43000031,64.95605469,1013.082336,0.0,140.0,97.0,2,27,11,2023,2,3
9886,34,21.0,25.29999924,89.19042969,1012.646729,0.0,140.0,96.0,2,27,11,2023,3,3
9887,35,18.0,26.0,83.46289063,1012.617493,0.0,141.0,96.0,2,27,11,2023,4,3
9888,36,13.0,25.95000076,82.17578125,1012.819275,0.0,140.0,95.0,2,27,11,2023,5,3
9889,37,18.0,26.42000008,76.56738281,1013.224365,0.0,142.0,94.0,2,27,11,2023,6,3
9890,38,13.0,26.70000076,74.17285156,1013.803589,0.0,141.0,93.0,2,27,11,2023,7,3
9891,39,10.0,27.68000031,67.97949219,1014.565186,0.0,140.0,91.0,2,27,11,2023,8,3
9892,40,8.0,28.76000023,63.89160156,1015.772827,0.0,140.0,88.0,2,27,11,2023,9,3
9893,41,15.0,30.62000084,56.57226563,1015.598877,0.0,142.0,87.0,2,27,11,2023,10,3
9894,42,6.0,31.87000084,49.45410156,1014.917725,0.0,142.0,85.0,2,27,11,2023,11,3
9895,43,4.0,33.34999847,45.06738281,1014.031067,0.0,140.0,80.0,2,27,11,2023,12,3
9896,44,3.0,34.43999863,41.43066406,1012.793579,0.0,140.0,76.0,2,27,11,2023,13,3
9897,45,6.0,33.81999969,43.82324219,1011.84314,0.0,140.0,72.0,2,27,11,2023,14,3
9898,46,14.0,32.95999908,47.69824219,1011.251892,0.0,140.0,71.0,2,27,11,2023,15,3
9899,47,13.0,32.47999954,46.88964844,1010.913208,0.0,139.0,69.0,2,27,11,2023,16,3
9900,48,12.0,31.79999924,48.02441406,1011.097656,0.0,141.0,65.0,2,27,11,2023,17,3
9901,49,19.0,30.72999954,51.10253906,1011.873291,0.0,140.0,60.0,2,27,11,2023,18,3
9902,50,15.0,29.92000008,52.98632813,1012.903259,0.0,142.0,55.0,2,27,11,2023,19,3
9903,51,17.0,29.19000053,52.96972656,1013.899536,0.0,142.0,51.0,2,27,11,2023,20,3
9904,52,30.0,28.53000069,54.09765625,1014.279907,0.0,140.0,49.0,2,27,11,2023,21,4
9905,53,28.0,27.86000061,56.59277344,1014.296265,0.0,141.0,46.0,2,27,11,2023,22,4
9906,54,24.0,27.36000061,58.05957031,1013.86908,0.0,140.0,36.0,2,27,11,2023,23,4
9907,55,37.0,27.01000023,58.09472656,1013.567627,0.0,142.0,32.0,3,28,11,2023,0,4
9908,56,28.0,26.55999947,59.6875,1013.47467,0.0,139.0,28.0,3,28,11,2023,1,4
9909,57,37.0,26.68000031,59.95214844,1012.963135,0.0,141.0,31.0,3,28,11,2023,2,4
9910,58,32.0,27.06999969,58.27148438,1012.434204,0.0,140.0,32.0,3,28,11,2023,3,4
9911,59,44.0,26.27000046,63.54101563,1012.192505,0.0,140.0,34.0,3,28,11,2023,4,4
9912,60,44.0,26.38999939,59.41503906,1012.357117,0.0,64.0,38.0,3,28,11,2023,5,4
9913,61,43.0,25.84000015,60.52734375,1012.847839,0.0,63.0,40.0,3,28,11,2023,6,4
9914,62,38.0,25.93000031,55.95800781,1013.384827,0.0,63.0,43.0,3,28,11,2023,7,4
9915,63,43.0,26.45000076,52.40136719,1014.059143,0.0,141.0,46.0,3,28,11,2023,8,4
9916,64,44.0,27.47999954,48.62695313,1014.904846,0.0,140.0,50.0,3,28,11,2023,9,4
9917,65,34.0,28.35000038,45.83984375,1014.901001,0.0,64.0,53.0,3,28,11,2023,10,3
9918,66,33.0,31.12000084,39.36328125,1014.563599,0.0,141.0,58.0,3,28,11,2023,11,3
9919,67,36.0,31.38999939,38.38769531,1013.829712,0.0,63.0,63.0,3,28,11,2023,12,3
9920,68,38.0,31.19000053,39.140625,1012.865723,0.0,64.0,69.0,3,28,11,2023,13,3
9921,69,47.0,30.97999954,40.52246094,1011.877319,0.0,64.0,75.0,3,28,11,2023,14,3
9922,70,54.0,30.29999924,43.61230469,1011.36908,0.0,64.0,82.0,3,28,11,2023,15,3
9923,71,51.0,30.55999947,41.26464844,1011.17749,0.0,63.0,88.0,3,28,11,2023,16,3
9924,72,58.0,29.53000069,44.05175781,1011.325378,0.0,63.0,96.0,3,28,11,2023,17,3
9925,73,53.0,28.54000092,45.86035156,1011.812195,0.0,64.0,102.0,3,28,11,2023,18,2
9926,74,71.0,27.62999916,47.74609375,1012.419373,0.0,63.0,108.0,3,28,11,2023,19,2
9927,75,72.0,26.87000084,51.859375,1012.95343,0.0,63.0,114.0,3,28,11,2023,20,2
9928,76,90.0,26.11000061,55.90039063,1013.304688,0.0,63.0,120.0,3,28,11,2023,21,2
9929,77,107.0,25.53000069,59.85546875,1013.464355,0.0,63.0,129.0,3,28,11,2023,22,2
9930,78,94.0,24.96999931,64.29296875,1013.360168,0.0,62.0,137.0,3,28,11,2023,23,2
9931,79,121.0,25.52000046,64.15722656,1012.999512,0.0,66.0,146.0,4,29,11,2023,0,2
9932,80,146.0,25.04999924,68.23632813,1012.691345,0.0,65.0,159.0,4,29,11,2023,1,2
9933,81,104.0,25.04000092,65.10058594,1012.247498,0.0,65.0,167.0,4,29,11,2023,2,2
9934,82,95.0,24.54000092,66.99414063,1011.726379,0.0,63.0,174.0,4,29,11,2023,3,2
9935,83,85.0,24.12000084,69.02636719,1011.783936,0.0,64.0,178.0,4,29,11,2023,4,2
9936,84,81.0,24.07999992,69.02050781,1012.22406,0.0,61.0,182.0,4,29,11,2023,5,2
9937,85,79.0,23.79999924,69.55859375,1012.726074,0.0,64.0,186.0,4,29,11,2023,6,2
9938,86,74.0,23.71999931,68.39550781,1013.502136,0.0,62.0,190.0,4,29,11,2023,7,2
9939,87,57.0,25.27000046,62.21777344,1014.368042,1.0,64.0,192.0,4,29,11,2023,8,2
9940,88,52.0,27.48999977,53.49804688,1014.989075,0.0,63.0,192.0,4,29,11,2023,9,2
9941,89,49.0,28.40999985,51.78808594,1014.942993,0.0,63.0,194.0,4,29,11,2023,10,2
9942,90,49.0,29.47999954,47.9296875,1014.584229,0.0,63.0,196.0,4,29,11,2023,11,2
9943,91,41.0,30.82999992,45.27734375,1013.780334,0.0,63.0,196.0,4,29,11,2023,12,2
9944,92,49.0,33.20999908,38.42675781,1012.787964,0.0,63.0,198.0,4,29,11,2023,13,2
9945,93,42.0,35.86000061,33.23632813,1011.788574,0.0,64.0,197.0,4,29,11,2023,14,2
9946,94,49.0,32.25,40.58984375,1011.370483,0.0,64.0,197.0,4,29,11,2023,15,2
9947,95,49.0,30.44000053,46.69140625,1011.425842,1.0,64.0,196.0,4,29,11,2023,16,2
9948,96,43.0,29.37000084,48.31738281,1011.804382,1.0,64.0,195.0,4,29,11,2023,17,2
9949,97,52.0,28.90999985,50.78515625,1012.477051,0.0,64.0,195.0,4,29,11,2023,18,2
9950,98,80.0,28.42000008,54.58496094,1013.1521,0.0,64.0,196.0,4,29,11,2023,19,2
9952,99,60.0,28.17000008,55.36132813,1013.864929,0.0,63.0,194.0,4,29,11,2023,20,2
9954,100,71.0,27.84000015,56.30859375,1014.470642,0.0,64.0,192.0,4,29,11,2023,21,2
9955,101,77.0,27.20999908,59.99804688,1015.000793,0.0,65.0,189.0,4,29,11,2023,22,2
9956,102,166.0,26.53000069,68.60644531,1014.903198,0.0,64.0,197.0,4,29,11,2023,23,2
9957,103,157.0,26.54000092,68.60839844,1014.564514,0.0,63.0,200.0,5,30,11,2023,0,1
9958,104,122.0,26.44000053,67.47753906,1013.898438,0.0,64.0,198.0,5,30,11,2023,1,2
9959,105,116.0,26.26000023,67.3828125,1013.172424,0.0,63.0,199.0,5,30,11,2023,2,2
9960,106,109.0,26.22999954,67.37890625,1012.5672,0.0,63.0,200.0,5,30,11,2023,3,1
9961,107,87.0,26.04000092,67.45117188,1012.550171,0.0,63.0,200.0,5,30,11,2023,4,1
9962,108,79.0,25.70000076,68.26757813,1012.761719,0.0,64.0,200.0,5,30,11,2023,5,1
9963,109,88.0,25.68000031,69.09667969,1013.391541,0.0,65.0,201.0,5,30,11,2023,6,1
9964,110,89.0,25.77000046,68.43652344,1013.758179,0.0,64.0,201.0,5,30,11,2023,7,1
9965,111,75.0,26.80999947,63.79785156,1014.428894,0.0,63.0,202.0,5,30,11,2023,8,1
9966,112,72.0,28.59000015,58.35449219,1015.171082,0.0,65.0,203.0,5,30,11,2023,9,1
9967,113,66.0,30.62000084,51.1484375,1015.193909,0.0,63.0,204.0,5,30,11,2023,10,1
9968,114,62.0,32.18999863,46.87109375,1014.439697,0.0,63.0,204.0,5,30,11,2023,11,1
9969,115,52.0,34.11999893,41.24121094,1013.645142,0.0,64.0,205.0,5,30,11,2023,12,1
9971,116,33.0,36.97000122,32.10546875,1012.577942,0.0,64.0,204.0,5,30,11,2023,13,1
9972,117,10.0,38.18999863,31.59375,1011.342651,0.0,0.0,203.0,5,30,11,2023,14,1
9973,118,13.0,35.86999893,36.55957031,1010.92749,0.0,0.0,201.0,5,30,11,2023,15,1
9974,119,18.0,34.31999969,39.44433594,1010.877197,0.0,63.0,200.0,5,30,11,2023,16,2
9975,120,17.0,33.0,44.58398438,1011.333252,0.0,54.0,197.0,5,30,11,2023,17,2
9976,121,19.0,31.62000084,48.32714844,1011.714111,0.0,63.0,193.0,5,30,11,2023,18,2
9977,122,36.0,30.86000061,51.34667969,1012.215454,0.0,64.0,188.0,5,30,11,2023,19,2
9978,123,38.0,30.06999969,54.71484375,1013.053284,0.0,62.0,186.0,5,30,11,2023,20,2
9979,124,50.0,30.55999947,51.15332031,1013.592163,0.0,63.0,184.0,5,30,11,2023,21,2
9980,125,42.0,29.85000038,54.09472656,1013.869385,0.0,63.0,180.0,5,30,11,2023,22,2
9981,126,37.0,29.73999977,54.02539063,1013.750793,0.0,64.0,165.0,5,30,11,2023,23,2
9982,127,35.0,29.28000069,55.78125,1013.502808,0.0,64.0,152.0,6,1,12,2023,0,2
9983,128,39.0,28.79999924,58.01855469,1013.128723,0.0,64.0,143.0,6,1,12,2023,1,2
9984,129,45.0,27.89999962,63.30566406,1012.662659,0.0,63.0,135.0,6,1,12,2023,2,2
9985,130,49.0,27.28000069,66.82421875,1012.21814,0.0,63.0,128.0,6,1,12,2023,3,2
9986,131,47.0,26.85000038,69.38867188,1012.320923,0.0,63.0,124.0,6,1,12,2023,4,2
9987,132,46.0,26.79999924,69.81933594,1012.634521,0.0,64.0,120.0,6,1,12,2023,5,2
9988,133,52.0,26.70999908,70.48339844,1013.209717,0.0,63.0,116.0,6,1,12,2023,6,2
9989,134,55.0,26.71999931,70.32617188,1013.8125,0.0,63.0,113.0,6,1,12,2023,7,2
9990,135,49.0,27.88999939,66.75585938,1014.552673,0.0,63.0,110.0,6,1,12,2023,8,2
9991,136,24.0,29.76000023,58.23144531,1015.19458,0.0,65.0,104.0,6,1,12,2023,9,2
9992,137,13.0,31.18000031,53.97949219,1014.593445,0.0,64.0,97.0,6,1,12,2023,10,3
9993,138,8.0,33.16999817,46.81054688,1013.683777,0.0,64.0,88.0,6,1,12,2023,11,3
9994,139,15.0,33.68000031,46.42480469,1012.912659,0.0,0.0,82.0,6,1,12,2023,12,3
9995,140,22.0,33.33000183,46.86132813,1011.584595,0.0,216.0,80.0,6,1,12,2023,13,3
9996,141,14.0,34.54000092,45.36914063,1010.428284,0.0,217.0,81.0,6,1,12,2023,14,3
9997,142,12.0,33.54000092,48.56445313,1009.741394,0.0,140.0,81.0,6,1,12,2023,15,3
9998,143,20.0,33.00999832,51.98925781,1009.717957,0.0,216.0,81.0,6,1,12,2023,16,3
9999,144,14.0,32.45999908,49.18554688,1010.070007,0.0,216.0,80.0,6,1,12,2023,17,3
10000,145,12.0,30.95999908,54.90234375,1010.385498,0.0,217.0,79.0,6,1,12,2023,18,3
10001,146,27.0,30.06999969,58.02148438,1011.187439,0.0,217.0,78.0,6,1,12,2023,19,3
10002,147,31.0,29.52000046,61.33984375,1012.218567,0.0,217.0,77.0,6,1,12,2023,20,3
10003,148,33.0,29.14999962,64.52441406,1012.933777,0.0,215.0,74.0,6,1,12,2023,21,3
10004,149,30.0,28.56999969,68.11328125,1013.336243,0.0,219.0,72.0,6,1,12,2023,22,3
10005,150,33.0,28.38999939,69.08105469,1013.228699,0.0,216.0,71.0,6,1,12,2023,23,3
10006,151,55.0,28.37000084,69.62109375,1012.993347,0.0,218.0,74.0,7,2,12,2023,0,3
10007,152,29.0,28.86000061,68.51855469,1013.425598,0.0,309.0,73.0,7,2,12,2023,1,3
10008,153,6.0,27.56999969,76.83886719,1012.841431,0.0,309.0,66.0,7,2,12,2023,2,3
10009,154,4.0,27.11000061,78.5859375,1012.646667,0.0,307.0,59.0,7,2,12,2023,3,3
10010,155,3.0,26.67000008,79.6328125,1012.573425,0.0,309.0,52.0,7,2,12,2023,4,3
10011,156,6.0,26.45999908,80.01269531,1012.509705,0.0,307.0,47.0,7,2,12,2023,5,4
10012,157,8.0,26.28000069,81.25878906,1012.933777,0.0,306.0,42.0,7,2,12,2023,6,4
10013,158,15.0,26.5,80.703125,1013.79718,0.0,308.0,38.0,7,2,12,2023,7,4
10014,159,9.0,27.98999977,77.44140625,1014.986572,0.0,309.0,34.0,7,2,12,2023,8,4
10015,160,5.0,29.87999916,70.89550781,1015.600952,0.0,303.0,32.0,7,2,12,2023,9,4
10016,161,7.0,31.65999985,64.23046875,1015.518311,0.0,307.0,32.0,7,2,12,2023,10,4
10017,162,5.0,33.18999863,57.32714844,1014.790955,0.0,309.0,31.0,7,2,12,2023,11,4
10018,163,10.0,32.04999924,54.22949219,1013.736389,1.0,360.0,31.0,7,2,12,2023,12,4
10019,164,17.0,34.34999847,47.21875,1012.384827,2.0,360.0,30.0,7,2,12,2023,13,4
10020,165,8.0,35.20000076,45.08789063,1011.220093,1.0,360.0,30.0,7,2,12,2023,14,4
10022,166,7.0,35.84999847,43.89941406,1010.758667,1.0,360.0,29.0,7,2,12,2023,15,4
10023,167,14.0,33.65999985,48.69238281,1010.654236,1.0,360.0,29.0,7,2,12,2023,16,4
10024,168,7.0,32.29999924,51.43945313,1010.696411,1.0,360.0,28.0,7,2,12,2023,17,4
10025,169,13.0,31.22999954,54.87695313,1011.646179,1.0,360.0,28.0,7,2,12,2023,18,4
10026,170,17.0,30.60000038,58.05371094,1012.462036,1.0,360.0,27.0,7,2,12,2023,19,4
10027,171,18.0,29.65999985,63.04101563,1013.1521,1.0,360.0,25.0,7,2,12,2023,20,5
10028,172,17.0,29.25,65.23242188,1013.605774,1.0,360.0,24.0,7,2,12,2023,21,5
10034,173,23.0,28.80999947,70.19726563,1013.522095,1.0,360.0,23.0,7,2,12,2023,23,5
10036,174,36.0,28.60000038,71.22851563,1013.582947,1.0,360.0,24.0,1,3,12,2023,0,5
10037,175,45.0,28.73999977,71.47753906,1013.2771,1.0,360.0,23.0,1,3,12,2023,1,5
10038,176,74.0,28.30999947,71.65820313,1012.609131,1.0,360.0,27.0,1,3,12,2023,2,4
10039,177,57.0,28.17000008,67.95117188,1012.522522,1.0,360.0,32.0,1,3,12,2023,3,4
10040,178,17.0,28.04000092,66.29003906,1012.382629,0.0,360.0,34.0,1,3,12,2023,4,4
10041,179,13.0,27.5,68.6640625,1012.436279,1.0,360.0,35.0,1,3,12,2023,5,4
10042,180,14.0,27.29999924,67.49316406,1013.157043,1.0,360.0,35.0,1,3,12,2023,6,4
10043,181,17.0,27.51000023,67.15234375,1013.762878,0.0,360.0,36.0,1,3,12,2023,7,4
10044,182,25.0,28.23999977,66.796875,1014.477661,1.0,360.0,37.0,1,3,12,2023,8,4
10045,183,13.0,29.46999931,63.58203125,1014.889404,1.0,360.0,38.0,1,3,12,2023,9,4
10046,184,17.0,31.05999947,57.84960938,1014.871277,1.0,360.0,39.0,1,3,12,2023,10,4
10047,185,10.0,32.34999847,53.36132813,1014.132996,0.0,308.0,39.0,1,3,12,2023,11,4
10048,186,8.0,34.70999908,45.24707031,1012.954529,4.0,360.0,40.0,1,3,12,2023,12,4
10049,187,10.0,38.75999832,36.84863281,1011.51593,1.0,360.0,40.0,1,3,12,2023,13,4
10050,188,13.0,36.93999863,40.70507813,1010.599976,1.0,360.0,39.0,1,3,12,2023,14,4
10051,189,9.0,35.04000092,44.875,1010.31073,1.0,360.0,39.0,1,3,12,2023,15,4
10052,190,8.0,34.61999893,45.70117188,1010.503723,1.0,360.0,39.0,1,3,12,2023,16,4
10054,191,7.0,33.18999863,50.90722656,1011.116882,1.0,360.0,39.0,1,3,12,2023,17,4
10055,192,10.0,32.33000183,53.85253906,1011.697632,1.0,360.0,39.0,1,3,12,2023,18,4
10056,193,10.0,31.72999954,58.23046875,1012.23877,0.0,360.0,39.0,1,3,12,2023,19,4
